entry_id,parl_id,source_id,details,date,amount,source_pdf,source_pagenum
P35_ABETZ_Eric_17_26,ABETZ_Eric,P35_ABETZ_Eric,"21 Aug 14",2014-08-21,38.04,P35_ABETZ_Eric.pdf,17
P35_ABETZ_Eric_30_24,ABETZ_Eric,P35_ABETZ_Eric,"28 Jun 14",2014-06-28,93.14,P35_ABETZ_Eric.pdf,30
P35_ALBANESE_Anthony_13_35,ALBANESE_Anthony,P35_ALBANESE_Anthony,"5 Jul 14",2014-07-05,34.61,P35_ALBANESE_Anthony.pdf,13
P35_ALBANESE_Anthony_13_36,ALBANESE_Anthony,P35_ALBANESE_Anthony,"8 Aug 14",2014-08-08,53.28,P35_ALBANESE_Anthony.pdf,13
P35_ALBANESE_Anthony_13_37,ALBANESE_Anthony,P35_ALBANESE_Anthony,"29 Aug 14",2014-08-29,13.62,P35_ALBANESE_Anthony.pdf,13
P35_ALBANESE_Anthony_13_38,ALBANESE_Anthony,P35_ALBANESE_Anthony,"29 Aug 14",2014-08-29,44.90,P35_ALBANESE_Anthony.pdf,13
P35_ALBANESE_Anthony_14_3,ALBANESE_Anthony,P35_ALBANESE_Anthony,"3 Oct 14",2014-10-03,15.14,P35_ALBANESE_Anthony.pdf,14
P35_ALBANESE_Anthony_14_4,ALBANESE_Anthony,P35_ALBANESE_Anthony,"31 Oct 14",2014-10-31,29.16,P35_ALBANESE_Anthony.pdf,14
P35_ALBANESE_Anthony_14_5,ALBANESE_Anthony,P35_ALBANESE_Anthony,"27 Nov 14",2014-11-27,39.05,P35_ALBANESE_Anthony.pdf,14
P35_ALBANESE_Anthony_26_17,ALBANESE_Anthony,P35_ALBANESE_Anthony,"6 Jun 14",2014-06-06,22.30,P35_ALBANESE_Anthony.pdf,26
P35_ALBANESE_Anthony_26_18,ALBANESE_Anthony,P35_ALBANESE_Anthony,"13 Jun 14",2014-06-13,18.26,P35_ALBANESE_Anthony.pdf,26
P35_ALBANESE_Anthony_26_19,ALBANESE_Anthony,P35_ALBANESE_Anthony,"13 Jun 14",2014-06-13,18.16,P35_ALBANESE_Anthony.pdf,26
P35_ALEXANDER_John_18_10,ALEXANDER_John,P35_ALEXANDER_John,"3 May 14",2014-05-03,128.15,P35_ALEXANDER_John.pdf,18
P35_ALEXANDER_John_8_10,ALEXANDER_John,P35_ALEXANDER_John,"13 Aug 14",2014-08-13,76.73,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_11,ALEXANDER_John,P35_ALEXANDER_John,"14 Aug 14",2014-08-14,19.37,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_12,ALEXANDER_John,P35_ALEXANDER_John,"14 Aug 14",2014-08-14,121.09,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_13,ALEXANDER_John,P35_ALEXANDER_John,"19 Aug 14",2014-08-19,71.93,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_14,ALEXANDER_John,P35_ALEXANDER_John,"14 Oct 14",2014-10-14,121.09,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_15,ALEXANDER_John,P35_ALEXANDER_John,"15 Oct 14",2014-10-15,70.84,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_16,ALEXANDER_John,P35_ALEXANDER_John,"15 Oct 14",2014-10-15,11.40,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_17,ALEXANDER_John,P35_ALEXANDER_John,"16 Oct 14",2014-10-16,51.16,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_18,ALEXANDER_John,P35_ALEXANDER_John,"21 Nov 14",2014-11-21,11.30,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_3,ALEXANDER_John,P35_ALEXANDER_John,"10 Jul 14",2014-07-10,100.91,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_4,ALEXANDER_John,P35_ALEXANDER_John,"7 Aug 14",2014-08-07,44.30,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_5,ALEXANDER_John,P35_ALEXANDER_John,"7 Aug 14",2014-08-07,33.30,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_6,ALEXANDER_John,P35_ALEXANDER_John,"10 Aug 14",2014-08-10,76.73,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_7,ALEXANDER_John,P35_ALEXANDER_John,"11 Aug 14",2014-08-11,80.73,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_8,ALEXANDER_John,P35_ALEXANDER_John,"12 Aug 14",2014-08-12,45.81,P35_ALEXANDER_John.pdf,8
P35_ALEXANDER_John_8_9,ALEXANDER_John,P35_ALEXANDER_John,"13 Aug 14",2014-08-13,75.48,P35_ALEXANDER_John.pdf,8
P35_ANDREWS_Karen_11_35,ANDREWS_Karen,P35_ANDREWS_Karen,"2 Oct 14",2014-10-02,58.02,P35_ANDREWS_Karen.pdf,11
P35_ANDREWS_Karen_11_36,ANDREWS_Karen,P35_ANDREWS_Karen,"3 Oct 14",2014-10-03,22.30,P35_ANDREWS_Karen.pdf,11
P35_ANDREWS_Karen_11_37,ANDREWS_Karen,P35_ANDREWS_Karen,"13 Nov 14",2014-11-13,20.38,P35_ANDREWS_Karen.pdf,11
P35_ANDREWS_Karen_11_38,ANDREWS_Karen,P35_ANDREWS_Karen,"13 Nov 14",2014-11-13,58.83,P35_ANDREWS_Karen.pdf,11
P35_ANDREWS_Karen_12_3,ANDREWS_Karen,P35_ANDREWS_Karen,"14 Nov 14",2014-11-14,58.63,P35_ANDREWS_Karen.pdf,12
P35_BALDWIN_Bob_14_31,BALDWIN_Bob,P35_BALDWIN_Bob,"19 Jul 14",2014-07-19,23.41,P35_BALDWIN_Bob.pdf,14
P35_BALDWIN_Bob_14_32,BALDWIN_Bob,P35_BALDWIN_Bob,"19 Jul 14",2014-07-19,42.18,P35_BALDWIN_Bob.pdf,14
P35_BALDWIN_Bob_14_33,BALDWIN_Bob,P35_BALDWIN_Bob,"20 Jul 14",2014-07-20,42.38,P35_BALDWIN_Bob.pdf,14
P35_BALDWIN_Bob_14_34,BALDWIN_Bob,P35_BALDWIN_Bob,"20 Jul 14",2014-07-20,16.15,P35_BALDWIN_Bob.pdf,14
P35_BALDWIN_Bob_14_35,BALDWIN_Bob,P35_BALDWIN_Bob,"20 Jul 14",2014-07-20,16.15,P35_BALDWIN_Bob.pdf,14
P35_BALDWIN_Bob_14_36,BALDWIN_Bob,P35_BALDWIN_Bob,"21 Jul 14",2014-07-21,13.12,P35_BALDWIN_Bob.pdf,14
P35_BALDWIN_Bob_14_37,BALDWIN_Bob,P35_BALDWIN_Bob,"21 Jul 14",2014-07-21,15.34,P35_BALDWIN_Bob.pdf,14
P35_BALDWIN_Bob_14_38,BALDWIN_Bob,P35_BALDWIN_Bob,"29 Aug 14",2014-08-29,21.80,P35_BALDWIN_Bob.pdf,14
P35_BALDWIN_Bob_15_10,BALDWIN_Bob,P35_BALDWIN_Bob,"3 Nov 14",2014-11-03,33.70,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_11,BALDWIN_Bob,P35_BALDWIN_Bob,"3 Nov 14",2014-11-03,51.97,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_12,BALDWIN_Bob,P35_BALDWIN_Bob,"3 Nov 14",2014-11-03,11.91,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_13,BALDWIN_Bob,P35_BALDWIN_Bob,"4 Nov 14",2014-11-04,60.44,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_14,BALDWIN_Bob,P35_BALDWIN_Bob,"16 Nov 14",2014-11-16,37.03,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_15,BALDWIN_Bob,P35_BALDWIN_Bob,"21 Nov 14",2014-11-21,33.60,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_16,BALDWIN_Bob,P35_BALDWIN_Bob,"23 Nov 14",2014-11-23,17.66,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_3,BALDWIN_Bob,P35_BALDWIN_Bob,"31 Aug 14",2014-08-31,47.53,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_4,BALDWIN_Bob,P35_BALDWIN_Bob,"9 Sep 14",2014-09-09,30.17,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_5,BALDWIN_Bob,P35_BALDWIN_Bob,"9 Sep 14",2014-09-09,24.42,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_6,BALDWIN_Bob,P35_BALDWIN_Bob,"28 Sep 14",2014-09-28,10.26,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_7,BALDWIN_Bob,P35_BALDWIN_Bob,"28 Sep 14",2014-09-28,10.36,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_8,BALDWIN_Bob,P35_BALDWIN_Bob,"9 Oct 14",2014-10-09,14.33,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_15_9,BALDWIN_Bob,P35_BALDWIN_Bob,"10 Oct 14",2014-10-10,11.91,P35_BALDWIN_Bob.pdf,15
P35_BALDWIN_Bob_27_19,BALDWIN_Bob,P35_BALDWIN_Bob,"13 Jun 14",2014-06-13,26.34,P35_BALDWIN_Bob.pdf,27
P35_BALDWIN_Bob_27_20,BALDWIN_Bob,P35_BALDWIN_Bob,"14 Jun 14",2014-06-14,18.16,P35_BALDWIN_Bob.pdf,27
P35_BALDWIN_Bob_27_21,BALDWIN_Bob,P35_BALDWIN_Bob,"15 Jun 14",2014-06-15,42.38,P35_BALDWIN_Bob.pdf,27
P35_BERNARDI_Cory_12_3,BERNARDI_Cory,P35_BERNARDI_Cory,"12 Aug 14",2014-08-12,8.27,P35_BERNARDI_Cory.pdf,12
P35_BERNARDI_Cory_12_4,BERNARDI_Cory,P35_BERNARDI_Cory,"21 Oct 14",2014-10-21,10.09,P35_BERNARDI_Cory.pdf,12
P35_BERNARDI_Cory_12_5,BERNARDI_Cory,P35_BERNARDI_Cory,"6 Nov 14",2014-11-06,20.18,P35_BERNARDI_Cory.pdf,12
P35_BILYK_Catryna_10_3,BILYK_Catryna,P35_BILYK_Catryna,"9 Nov 14",2014-11-09,29.57,P35_BILYK_Catryna.pdf,10
P35_BILYK_Catryna_10_4,BILYK_Catryna,P35_BILYK_Catryna,"9 Nov 14",2014-11-09,28.36,P35_BILYK_Catryna.pdf,10
P35_BIRD_Sharon_8_10,BIRD_Sharon,P35_BIRD_Sharon,"11 Sep 14",2014-09-11,47.43,P35_BIRD_Sharon.pdf,8
P35_BIRD_Sharon_8_11,BIRD_Sharon,P35_BIRD_Sharon,"11 Sep 14",2014-09-11,34.01,P35_BIRD_Sharon.pdf,8
P35_BIRMINGHAM_Simon_14_23,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"21 Aug 14",2014-08-21,12.41,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_24,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"21 Aug 14",2014-08-21,13.12,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_25,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"7 Sep 14",2014-09-07,18.37,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_26,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"11 Sep 14",2014-09-11,23.92,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_27,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"24 Sep 14",2014-09-24,22.00,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_28,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"3 Oct 14",2014-10-03,10.09,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_29,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"14 Oct 14",2014-10-14,25.63,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_30,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"17 Oct 14",2014-10-17,50.45,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_31,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"18 Oct 14",2014-10-18,16.65,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_32,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"19 Oct 14",2014-10-19,13.82,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_33,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"6 Nov 14",2014-11-06,14.13,P35_BIRMINGHAM_Simon.pdf,14
P35_BIRMINGHAM_Simon_14_34,BIRMINGHAM_Simon,P35_BIRMINGHAM_Simon,"23 Nov 14",2014-11-23,30.58,P35_BIRMINGHAM_Simon.pdf,14
P35_BISHOP_Julie_23_25,BISHOP_Julie,P35_BISHOP_Julie,"24 Aug 14",2014-08-24,13.22,P35_BISHOP_Julie.pdf,23
P35_BISHOP_Julie_23_26,BISHOP_Julie,P35_BISHOP_Julie,"6 Dec 14",2014-12-06,69.12,P35_BISHOP_Julie.pdf,23
P35_BISHOP_Julie_23_27,BISHOP_Julie,P35_BISHOP_Julie,"7 Dec 14",2014-12-07,22.34,P35_BISHOP_Julie.pdf,23
P35_BISHOP_Mark_15_14,BISHOP_Mark,P35_BISHOP_Mark,"13 Jun 14",2014-06-13,26.84,P35_BISHOP_Mark.pdf,15
P35_BOSWELL_Ronald_14_13,BOSWELL_Ronald,P35_BOSWELL_Ronald,"20 Jun 14",2014-06-20,13.72,P35_BOSWELL_Ronald.pdf,14
P35_BROAD_Andrew_10_15,BROAD_Andrew,P35_BROAD_Andrew,"19 Oct 14",2014-10-19,20.62,P35_BROAD_Andrew.pdf,10
P35_BROAD_Andrew_10_16,BROAD_Andrew,P35_BROAD_Andrew,"30 Oct 14",2014-10-30,19.37,P35_BROAD_Andrew.pdf,10
P35_BROAD_Andrew_10_17,BROAD_Andrew,P35_BROAD_Andrew,"1 Nov 14",2014-11-01,15.73,P35_BROAD_Andrew.pdf,10
P35_BROAD_Andrew_10_18,BROAD_Andrew,P35_BROAD_Andrew,"23 Nov 14",2014-11-23,20.52,P35_BROAD_Andrew.pdf,10
P35_BROAD_Andrew_24_14,BROAD_Andrew,P35_BROAD_Andrew,"15 Jun 14",2014-06-15,20.23,P35_BROAD_Andrew.pdf,24
P35_BROUGH_Mal_20_10,BROUGH_Mal,P35_BROUGH_Mal,"26 Jun 14",2014-06-26,15.24,P35_BROUGH_Mal.pdf,20
P35_BROUGH_Mal_20_8,BROUGH_Mal,P35_BROUGH_Mal,"20 Jun 14",2014-06-20,32.49,P35_BROUGH_Mal.pdf,20
P35_BROUGH_Mal_20_9,BROUGH_Mal,P35_BROUGH_Mal,"22 Jun 14",2014-06-22,34.01,P35_BROUGH_Mal.pdf,20
P35_BROUGH_Mal_7_25,BROUGH_Mal,P35_BROUGH_Mal,"13 Nov 14",2014-11-13,38.04,P35_BROUGH_Mal.pdf,7
P35_BROUGH_Mal_7_26,BROUGH_Mal,P35_BROUGH_Mal,"13 Nov 14",2014-11-13,33.60,P35_BROUGH_Mal.pdf,7
P35_BROUGH_Mal_7_27,BROUGH_Mal,P35_BROUGH_Mal,"14 Nov 14",2014-11-14,43.59,P35_BROUGH_Mal.pdf,7
P35_BUCHHOLZ_Scott_10_13,BUCHHOLZ_Scott,P35_BUCHHOLZ_Scott,"11 Aug 14",2014-08-11,17.96,P35_BUCHHOLZ_Scott.pdf,10
P35_BUCHHOLZ_Scott_10_14,BUCHHOLZ_Scott,P35_BUCHHOLZ_Scott,"11 Aug 14",2014-08-11,17.26,P35_BUCHHOLZ_Scott.pdf,10
P35_BUCHHOLZ_Scott_10_15,BUCHHOLZ_Scott,P35_BUCHHOLZ_Scott,"10 Oct 14",2014-10-10,11.10,P35_BUCHHOLZ_Scott.pdf,10
P35_BULLOCK_Joe_7_10,BULLOCK_Joe,P35_BULLOCK_Joe,"24 Oct 14",2014-10-24,21.19,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_11,BULLOCK_Joe,P35_BULLOCK_Joe,"26 Oct 14",2014-10-26,27.75,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_12,BULLOCK_Joe,P35_BULLOCK_Joe,"2 Nov 14",2014-11-02,23.31,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_13,BULLOCK_Joe,P35_BULLOCK_Joe,"10 Nov 14",2014-11-10,41.53,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_14,BULLOCK_Joe,P35_BULLOCK_Joe,"12 Nov 14",2014-11-12,34.01,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_15,BULLOCK_Joe,P35_BULLOCK_Joe,"12 Nov 14",2014-11-12,32.19,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_16,BULLOCK_Joe,P35_BULLOCK_Joe,"14 Nov 14",2014-11-14,30.37,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_17,BULLOCK_Joe,P35_BULLOCK_Joe,"14 Nov 14",2014-11-14,29.87,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_18,BULLOCK_Joe,P35_BULLOCK_Joe,"16 Nov 14",2014-11-16,31.48,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_19,BULLOCK_Joe,P35_BULLOCK_Joe,"6 Dec 14",2014-12-06,23.11,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_3,BULLOCK_Joe,P35_BULLOCK_Joe,"5 Sep 14",2014-09-05,22.20,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_4,BULLOCK_Joe,P35_BULLOCK_Joe,"5 Sep 14",2014-09-05,32.59,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_5,BULLOCK_Joe,P35_BULLOCK_Joe,"21 Sep 14",2014-09-21,29.97,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_6,BULLOCK_Joe,P35_BULLOCK_Joe,"4 Oct 14",2014-10-04,23.41,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_7,BULLOCK_Joe,P35_BULLOCK_Joe,"12 Oct 14",2014-10-12,55.63,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_8,BULLOCK_Joe,P35_BULLOCK_Joe,"13 Oct 14",2014-10-13,56.97,P35_BULLOCK_Joe.pdf,7
P35_BULLOCK_Joe_7_9,BULLOCK_Joe,P35_BULLOCK_Joe,"19 Oct 14",2014-10-19,26.54,P35_BULLOCK_Joe.pdf,7
P35_BURKE_Anna_8_24,BURKE_Anna,P35_BURKE_Anna,"26 Sep 14",2014-09-26,25.23,P35_BURKE_Anna.pdf,8
P35_BURKE_Anna_8_25,BURKE_Anna,P35_BURKE_Anna,"27 Sep 14",2014-09-27,11.60,P35_BURKE_Anna.pdf,8
P35_BURKE_Anna_8_26,BURKE_Anna,P35_BURKE_Anna,"27 Sep 14",2014-09-27,14.53,P35_BURKE_Anna.pdf,8
P35_BURKE_Tony_12_20,BURKE_Tony,P35_BURKE_Tony,"26 Jul 14",2014-07-26,142.44,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_21,BURKE_Tony,P35_BURKE_Tony,"26 Jul 14",2014-07-26,77.70,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_22,BURKE_Tony,P35_BURKE_Tony,"9 Aug 14",2014-08-09,116.55,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_23,BURKE_Tony,P35_BURKE_Tony,"9 Aug 14",2014-08-09,116.55,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_24,BURKE_Tony,P35_BURKE_Tony,"22 Aug 14",2014-08-22,136.23,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_25,BURKE_Tony,P35_BURKE_Tony,"22 Aug 14",2014-08-22,97.13,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_26,BURKE_Tony,P35_BURKE_Tony,"27 Sep 14",2014-09-27,233.10,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_27,BURKE_Tony,P35_BURKE_Tony,"27 Sep 14",2014-09-27,194.25,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_28,BURKE_Tony,P35_BURKE_Tony,"28 Sep 14",2014-09-28,233.10,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_29,BURKE_Tony,P35_BURKE_Tony,"11 Oct 14",2014-10-11,116.55,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_30,BURKE_Tony,P35_BURKE_Tony,"22 Nov 14",2014-11-22,9.49,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_12_31,BURKE_Tony,P35_BURKE_Tony,"7 Dec 14",2014-12-07,19.95,P35_BURKE_Tony.pdf,12
P35_BURKE_Tony_25_29,BURKE_Tony,P35_BURKE_Tony,"22 May 14",2014-05-22,116.55,P35_BURKE_Tony.pdf,25
P35_BURKE_Tony_25_30,BURKE_Tony,P35_BURKE_Tony,"22 May 14",2014-05-22,135.98,P35_BURKE_Tony.pdf,25
P35_BURKE_Tony_25_31,BURKE_Tony,P35_BURKE_Tony,"7 Jun 14",2014-06-07,194.25,P35_BURKE_Tony.pdf,25
P35_BURKE_Tony_25_32,BURKE_Tony,P35_BURKE_Tony,"7 Jun 14",2014-06-07,155.40,P35_BURKE_Tony.pdf,25
P35_BURKE_Tony_25_33,BURKE_Tony,P35_BURKE_Tony,"14 Jun 14",2014-06-14,155.40,P35_BURKE_Tony.pdf,25
P35_BURKE_Tony_25_34,BURKE_Tony,P35_BURKE_Tony,"14 Jun 14",2014-06-14,233.10,P35_BURKE_Tony.pdf,25
P35_BUSHBY_David_23_17,BUSHBY_David,P35_BUSHBY_David,"27 Jun 14",2014-06-27,11.13,P35_BUSHBY_David.pdf,23
P35_BUTLER_Terri_10_10,BUTLER_Terri,P35_BUTLER_Terri,"28 Nov 14",2014-11-28,30.17,P35_BUTLER_Terri.pdf,10
P35_BUTLER_Terri_10_11,BUTLER_Terri,P35_BUTLER_Terri,"5 Dec 14",2014-12-05,23.92,P35_BUTLER_Terri.pdf,10
P35_BUTLER_Terri_10_3,BUTLER_Terri,P35_BUTLER_Terri,"11 Aug 14",2014-08-11,27.85,P35_BUTLER_Terri.pdf,10
P35_BUTLER_Terri_10_4,BUTLER_Terri,P35_BUTLER_Terri,"22 Aug 14",2014-08-22,13.22,P35_BUTLER_Terri.pdf,10
P35_BUTLER_Terri_10_5,BUTLER_Terri,P35_BUTLER_Terri,"20 Sep 14",2014-09-20,24.92,P35_BUTLER_Terri.pdf,10
P35_BUTLER_Terri_10_6,BUTLER_Terri,P35_BUTLER_Terri,"20 Sep 14",2014-09-20,13.62,P35_BUTLER_Terri.pdf,10
P35_BUTLER_Terri_10_7,BUTLER_Terri,P35_BUTLER_Terri,"7 Oct 14",2014-10-07,21.19,P35_BUTLER_Terri.pdf,10
P35_BUTLER_Terri_10_8,BUTLER_Terri,P35_BUTLER_Terri,"7 Oct 14",2014-10-07,40.16,P35_BUTLER_Terri.pdf,10
P35_BUTLER_Terri_10_9,BUTLER_Terri,P35_BUTLER_Terri,"8 Oct 14",2014-10-08,20.48,P35_BUTLER_Terri.pdf,10
P35_CAMERON_Doug_9_7,CAMERON_Doug,P35_CAMERON_Doug,"8 Aug 14",2014-08-08,10.83,P35_CAMERON_Doug.pdf,9
P35_CANAVAN_Matthew_14_10,CANAVAN_Matthew,P35_CANAVAN_Matthew,"26 Nov 14",2014-11-26,51.06,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_11,CANAVAN_Matthew,P35_CANAVAN_Matthew,"30 Nov 14",2014-11-30,52.17,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_12,CANAVAN_Matthew,P35_CANAVAN_Matthew,"4 Dec 14",2014-12-04,53.89,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_3,CANAVAN_Matthew,P35_CANAVAN_Matthew,"26 Sep 14",2014-09-26,11.50,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_4,CANAVAN_Matthew,P35_CANAVAN_Matthew,"26 Oct 14",2014-10-26,24.72,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_5,CANAVAN_Matthew,P35_CANAVAN_Matthew,"21 Nov 14",2014-11-21,13.12,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_6,CANAVAN_Matthew,P35_CANAVAN_Matthew,"21 Nov 14",2014-11-21,15.14,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_7,CANAVAN_Matthew,P35_CANAVAN_Matthew,"22 Nov 14",2014-11-22,12.61,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_8,CANAVAN_Matthew,P35_CANAVAN_Matthew,"22 Nov 14",2014-11-22,8.48,P35_CANAVAN_Matthew.pdf,14
P35_CANAVAN_Matthew_14_9,CANAVAN_Matthew,P35_CANAVAN_Matthew,"23 Nov 14",2014-11-23,12.61,P35_CANAVAN_Matthew.pdf,14
P35_CHALMERS_Jim_10_3,CHALMERS_Jim,P35_CHALMERS_Jim,"13 Nov 14",2014-11-13,10.74,P35_CHALMERS_Jim.pdf,10
P35_CHALMERS_Jim_10_4,CHALMERS_Jim,P35_CHALMERS_Jim,"28 Nov 14",2014-11-28,49.14,P35_CHALMERS_Jim.pdf,10
P35_CHALMERS_Jim_10_5,CHALMERS_Jim,P35_CHALMERS_Jim,"1 Dec 14",2014-12-01,14.63,P35_CHALMERS_Jim.pdf,10
P35_CHALMERS_Jim_20_12,CHALMERS_Jim,P35_CHALMERS_Jim,"29 May 14",2014-05-29,21.04,P35_CHALMERS_Jim.pdf,20
P35_CHALMERS_Jim_20_13,CHALMERS_Jim,P35_CHALMERS_Jim,"11 Jun 14",2014-06-11,13.42,P35_CHALMERS_Jim.pdf,20
P35_CHALMERS_Jim_20_14,CHALMERS_Jim,P35_CHALMERS_Jim,"12 Jun 14",2014-06-12,18.37,P35_CHALMERS_Jim.pdf,20
P35_CHALMERS_Jim_20_15,CHALMERS_Jim,P35_CHALMERS_Jim,"12 Jun 14",2014-06-12,15.34,P35_CHALMERS_Jim.pdf,20
P35_CHALMERS_Jim_9_37,CHALMERS_Jim,P35_CHALMERS_Jim,"16 Oct 14",2014-10-16,54.79,P35_CHALMERS_Jim.pdf,9
P35_CHALMERS_Jim_9_38,CHALMERS_Jim,P35_CHALMERS_Jim,"11 Nov 14",2014-11-11,19.88,P35_CHALMERS_Jim.pdf,9
P35_CHAMPION_Nick_10_17,CHAMPION_Nick,P35_CHAMPION_Nick,"18 Jul 14",2014-07-18,11.82,P35_CHAMPION_Nick.pdf,10
P35_CHAMPION_Nick_10_18,CHAMPION_Nick,P35_CHAMPION_Nick,"22 Aug 14",2014-08-22,30.37,P35_CHAMPION_Nick.pdf,10
P35_CHESTERS_Lisa_7_31,CHESTERS_Lisa,P35_CHESTERS_Lisa,"4 Jul 14",2014-07-04,22.25,P35_CHESTERS_Lisa.pdf,7
P35_CHESTERS_Lisa_7_32,CHESTERS_Lisa,P35_CHESTERS_Lisa,"4 Jul 14",2014-07-04,20.33,P35_CHESTERS_Lisa.pdf,7
